tconst,name,year,mz,my,mx,fz,fy,fx,a10,a9,a8,a7,a6,a5,a4,a3,a2,a1,series_name,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes,demo_adj
tt0708472,The Menagerie: Part II,1966,8.4,8,8.4,8.3,8,8.7,587,564,665,339,153,57,21,14,5,16,Star Trek,tt0060028,1,12,8.3,2352,8.23738
tt0708473,The Naked Time,1966,8.1,7.8,8,8.6,8.1,8.2,480,457,908,537,193,82,33,10,6,16,Star Trek,tt0060028,1,4,8,2646,8.083459999999999
tt0708474,The Omega Glory,1968,5.8,6,6.5,6.4,6.1,7,191,89,207,390,346,202,123,77,62,75,Star Trek,tt0060028,2,23,6.3,1701,6.19144
tt0708475,The Paradise Syndrome,1968,6.7,6.6,7,7.4,6.7,7,218,118,299,467,293,156,78,50,25,28,Star Trek,tt0060028,3,3,6.9,1677,6.84678
tt0708476,The Return of the Archons,1967,7.3,7.1,7.3,7.7,7.5,7.4,260,179,469,623,282,113,57,16,16,20,Star Trek,tt0060028,1,21,7.3,1967,7.32976
tt0708477,The Savage Curtain,1969,6.8,6.6,6.8,7.6,6.9,7,218,77,244,421,280,160,63,44,28,27,Star Trek,tt0060028,3,22,6.8,1510,6.90468
tt0708478,The Squire of Gothos,1967,7.6,7.2,7.5,7.4,7.4,7.9,309,231,567,581,286,130,44,26,13,20,Star Trek,tt0060028,1,17,7.4,2141,7.436700000000001
tt0708479,The Tholian Web,1968,8.3,8,8.1,8,7.9,8.3,378,360,520,283,106,50,26,4,4,10,Star Trek,tt0060028,3,9,8.2,1678,8.05388
tt0708480,The Trouble with Tribbles,1967,9,8.7,8.8,9.2,9.2,9.3,"1,180",665,387,238,94,34,15,12,7,25,Star Trek,tt0060028,2,15,8.9,2573,8.958079999999999
tt0708481,The Ultimate Computer,1968,8.3,8,8.1,7.9,7.8,8.3,332,330,624,304,118,46,10,9,3,9,Star Trek,tt0060028,2,24,8.1,1718,8.02184
tt0708482,The Way to Eden,1969,5.1,5.1,5.6,6.7,6.1,6.3,224,68,135,211,280,281,188,130,90,161,Star Trek,tt0060028,3,20,5.5,1713,5.71126
tt0708483,This Side of Paradise,1967,8,7.7,8.1,8.6,8.2,8.4,421,363,672,410,163,71,23,12,9,13,Star Trek,tt0060028,1,24,8,2084,8.09446
tt0708484,Tomorrow Is Yesterday,1967,8,7.7,8.1,8.1,8,8.4,389,386,778,398,179,68,24,12,7,13,Star Trek,tt0060028,1,19,8,2188,7.97518
tt0708485,Turnabout Intruder,1969,6.9,6.9,6.9,7.5,7.4,6.9,232,117,262,432,222,129,64,48,27,46,Star Trek,tt0060028,3,24,7,1529,7.03306
tt0708486,What Are Little Girls Made Of?,1966,7.6,7.5,7.7,7.6,7.3,7.7,291,279,746,671,258,101,22,26,11,13,Star Trek,tt0060028,1,7,7.6,2355,7.518120000000001
tt0708488,Who Mourns for Adonais?,1967,7.1,6.9,7.2,7.7,7.2,7.6,269,158,431,590,341,150,58,31,18,28,Star Trek,tt0060028,2,2,7.1,2002,7.21572
tt0708489,Whom Gods Destroy,1969,7,6.8,7.1,7.7,7.1,7.5,205,107,272,510,255,111,51,27,10,20,Star Trek,tt0060028,3,14,7.1,1511,7.13478
tt0708490,Wink of an Eye,1968,7.3,7.2,7.5,7.7,7.3,7.7,232,146,398,470,181,93,30,17,7,12,Star Trek,tt0060028,3,11,7.5,1531,7.384440000000001
tt0708491,Wolf in the Fold,1967,7.5,7.2,7.5,7.5,7.4,7.8,269,157,485,474,184,110,52,28,15,16,Star Trek,tt0060028,2,14,7.4,1721,7.41994
tt0094030,Encounter at Farpoint,1987,7.1,7,6.8,6.5,7,7.4,507,329,791,"1,271",853,411,146,82,43,54,Star Trek: The Next Generation,tt0092455,1,1,7,4400,6.902259999999999
tt0111281,All Good Things...,1994,9.5,8.9,8.2,7.4,8.6,8.2,"2,698","1,395","1,163",692,304,154,81,59,60,197,Star Trek: The Next Generation,tt0092455,7,25,8.7,6719,8.47984
tt0162905,Cause and Effect,1992,9.1,9,8.9,8.3,8.8,8.9,962,799,344,128,53,27,10,10,10,25,Star Trek: The Next Generation,tt0092455,5,18,9,2285,8.781519999999999
tt0170501,Redemption II,1991,8.5,8.4,8.3,8,8.1,8,343,488,527,189,54,41,15,8,3,22,Star Trek: The Next Generation,tt0092455,5,1,8.4,1624,8.19206
tt0708668,11001001,1988,7.6,7.5,7.5,7,7.3,7.9,226,216,627,608,226,70,34,20,8,20,Star Trek: The Next Generation,tt0092455,1,14,7.5,1983,7.401360000000001
tt0708669,A Fistful of Datas,1992,7.8,7.4,7.6,6.5,7.8,7.5,237,191,465,391,177,67,32,25,14,24,Star Trek: The Next Generation,tt0092455,6,8,7.6,1555,7.3754599999999995
tt0708670,A Matter of Honor,1989,8.3,8.1,8.1,7.7,8,7.8,308,406,723,304,102,59,6,7,7,17,Star Trek: The Next Generation,tt0092455,2,8,8.1,1876,7.97132
tt0708671,A Matter of Perspective,1990,7,6.8,6.8,6.5,6.9,6.6,160,69,252,541,369,141,57,32,8,22,Star Trek: The Next Generation,tt0092455,3,14,6.8,1590,6.73724
tt0708672,A Matter of Time,1991,7.3,7.2,7.4,6.4,7.4,7,165,132,396,529,205,72,28,22,5,19,Star Trek: The Next Generation,tt0092455,5,9,7.3,1513,7.06242
tt0708675,Allegiance,1990,7.7,7.5,7.2,7,7.5,7.3,203,146,471,557,205,72,22,6,7,17,Star Trek: The Next Generation,tt0092455,3,18,7.4,1642,7.3376600000000005
tt0708676,Angel One,1988,5.5,5.6,5.9,5.8,6,5.5,135,47,125,284,515,385,190,80,86,74,Star Trek: The Next Generation,tt0092455,1,13,5.7,1856,5.663760000000001
tt0708677,Aquiel,1993,6,6,6.3,5.8,6.3,6.2,110,30,109,327,406,216,97,67,28,22,Star Trek: The Next Generation,tt0092455,6,13,6.1,1357,6.03236
tt0708678,Attached,1993,7.7,7.3,7.4,7.1,7.7,7.8,178,156,404,405,169,76,20,10,7,14,Star Trek: The Next Generation,tt0092455,7,8,7.5,1375,7.43672
tt0708679,"Birthright, Part I",1993,7.8,7.6,7.6,6.5,7.6,7.7,181,164,496,422,120,58,21,14,5,16,Star Trek: The Next Generation,tt0092455,6,16,7.6,1434,7.4060999999999995
tt0708680,Birthright: Part II,1993,7.6,7.2,7.3,6.1,7.6,7.4,171,131,371,470,169,76,32,21,14,20,Star Trek: The Next Generation,tt0092455,6,17,7.4,1413,7.1368
tt0708681,Bloodlines,1994,6.6,6.5,6.7,4.9,7,6.7,107,44,151,390,351,124,54,22,18,15,Star Trek: The Next Generation,tt0092455,7,22,6.6,1217,6.3073999999999995
tt0708682,Booby Trap,1989,7.5,7.3,7.6,6.8,7.3,7.5,195,149,521,548,200,71,27,13,2,18,Star Trek: The Next Generation,tt0092455,3,6,7.5,1682,7.27466
tt0708683,Brothers,1990,8.1,7.8,7.8,7.9,7.8,7.9,252,291,607,424,103,63,17,7,4,14,Star Trek: The Next Generation,tt0092455,4,3,7.9,1719,7.84908
tt0708684,Captain's Holiday,1990,7.3,7.1,7.4,6.6,7.4,7.4,201,150,438,542,234,97,43,26,11,30,Star Trek: The Next Generation,tt0092455,3,19,7.2,1706,7.128559999999999
tt0708686,Chain of Command: Part I,1992,8.7,8.4,8.2,7.4,8.3,7.9,405,510,533,224,69,32,14,10,3,22,Star Trek: The Next Generation,tt0092455,6,10,8.4,1745,8.129439999999999
tt0708687,Chain of Command: Part II,1992,9.3,8.9,8.7,7.9,8.6,8.7,751,607,347,124,45,27,12,10,4,30,Star Trek: The Next Generation,tt0092455,6,11,8.9,1882,8.65734
tt0708688,Clues,1991,8.4,8.2,8.3,7.9,8.1,8.3,393,503,589,281,82,40,10,7,0,18,Star Trek: The Next Generation,tt0092455,4,14,8.3,1849,8.15054
tt0708689,Code of Honor,1987,5,5.1,5.5,6.2,5.5,5.2,141,47,91,221,500,521,263,165,127,156,Star Trek: The Next Generation,tt0092455,1,3,5.2,2163,5.37082
tt0708690,Coming of Age,1988,7.2,7.1,7.1,7.1,7,7.2,167,121,396,669,300,102,30,19,8,19,Star Trek: The Next Generation,tt0092455,1,18,7.2,1770,7.07466
tt0708691,Conspiracy,1988,8.3,8.2,7.9,7.9,7.9,7.7,359,450,706,315,133,61,18,21,12,24,Star Trek: The Next Generation,tt0092455,1,24,8.1,2022,7.97044
tt0708692,Contagion,1989,7.7,7.6,7.6,7.2,7.6,7.7,203,184,624,478,166,52,12,12,3,15,Star Trek: The Next Generation,tt0092455,2,11,7.7,1684,7.5114
tt0708693,Conundrum,1992,8.6,8.2,8.3,7.5,8,8.3,331,483,591,231,74,41,9,6,7,16,Star Trek: The Next Generation,tt0092455,5,14,8.3,1722,8.110299999999999
tt0708694,Cost of Living,1992,6.2,6.1,6.4,5.4,7,6.5,133,54,146,322,378,176,96,52,25,41,Star Trek: The Next Generation,tt0092455,5,20,6.3,1367,6.16836
tt0708695,Dark Page,1993,6.5,6.2,6.7,5.9,7.1,6.9,147,61,212,318,331,175,83,52,27,55,Star Trek: The Next Generation,tt0092455,7,7,6.4,1406,6.452960000000001
tt0708696,Darmok,1991,8.9,8.6,8.6,8.6,8.9,8.7,880,764,434,222,90,51,23,11,11,42,Star Trek: The Next Generation,tt0092455,5,2,8.7,2432,8.666319999999999
tt0708697,Data's Day,1991,8.5,8.1,7.9,8,8.1,8.3,365,428,582,280,112,48,20,15,4,15,Star Trek: The Next Generation,tt0092455,4,11,8.2,1800,8.115779999999999
tt0708698,Datalore,1988,7.8,7.7,7.7,7.4,7.6,7.6,251,264,721,530,185,68,28,12,9,16,Star Trek: The Next Generation,tt0092455,1,12,7.7,2013,7.592180000000001
tt0708699,Déjà Q,1990,8.8,8.5,8.4,8.5,8.5,8.4,544,630,551,249,58,39,16,9,1,13,Star Trek: The Next Generation,tt0092455,3,13,8.6,2036,8.4879
tt0708700,Descent,1993,8.5,8.2,8.2,8.3,8.1,8,310,342,491,259,64,28,17,10,1,16,Star Trek: The Next Generation,tt0092455,6,26,8.3,1477,8.19782
tt0708701,Descent: Part II,1993,8,7.8,7.9,7.5,8.1,8,249,232,502,345,107,62,14,14,5,18,Star Trek: The Next Generation,tt0092455,7,1,7.9,1491,7.8194
tt0708702,Devil's Due,1991,7.1,7.3,7.4,6.7,7.4,7.5,200,145,401,542,233,80,44,17,10,16,Star Trek: The Next Generation,tt0092455,4,13,7.3,1623,7.1462200000000005
tt0708703,Disaster,1991,8.2,7.8,7.7,7,8.1,8,276,280,637,352,122,49,21,15,6,18,Star Trek: The Next Generation,tt0092455,5,5,7.9,1716,7.744720000000001
tt0708704,"Elementary, Dear Data",1988,8.3,8.1,8,7.9,8.3,8.1,401,493,690,338,122,55,29,19,4,17,Star Trek: The Next Generation,tt0092455,2,3,8.2,2092,8.06918
tt0708705,Emergence,1994,6.8,6.5,6.8,5.4,7,6.6,140,77,183,346,300,134,49,34,25,33,Star Trek: The Next Generation,tt0092455,7,23,6.7,1260,6.449579999999999
tt0708708,Ensign Ro,1991,7.9,7.7,7.9,6.9,8,7.5,198,249,645,363,120,42,8,6,2,15,Star Trek: The Next Generation,tt0092455,5,3,7.8,1588,7.596260000000001
tt0708709,Ethics,1992,7.5,7.3,7.2,6.7,7.8,7.2,188,148,350,487,208,82,20,22,12,21,Star Trek: The Next Generation,tt0092455,5,16,7.3,1477,7.230120000000001
tt0708710,Evolution,1989,6.7,6.6,6.7,5.9,6.8,6.8,143,61,186,565,482,161,65,27,10,22,Star Trek: The Next Generation,tt0092455,3,1,6.6,1661,6.516580000000001
tt0708711,Eye of the Beholder,1994,6.7,6.6,6.7,5.4,7.4,6.6,131,54,197,409,316,111,49,31,16,24,Star Trek: The Next Generation,tt0092455,7,18,6.7,1280,6.4831
tt0708712,Face of the Enemy,1993,8.1,7.9,8,6.8,8.2,7.3,248,301,568,285,110,44,22,9,5,17,Star Trek: The Next Generation,tt0092455,6,14,8,1544,7.67826
tt0708713,Family,1990,8.5,8.1,8.2,7.2,8.2,8,478,546,573,300,99,61,28,15,6,22,Star Trek: The Next Generation,tt0092455,4,2,8.2,2056,7.991759999999999
tt0708714,Final Mission,1990,6.9,6.7,6.8,6.7,7.1,6.9,138,105,277,474,340,133,64,30,18,28,Star Trek: The Next Generation,tt0092455,4,9,6.8,1545,6.7955000000000005
tt0708715,First Contact,1991,8.4,7.9,8.1,7.6,8.1,8,307,362,629,337,98,37,19,4,3,14,Star Trek: The Next Generation,tt0092455,4,15,8.1,1736,7.97878
tt0708716,Firstborn,1994,7,6.7,6.8,5.5,7.1,6.9,117,64,205,429,281,94,39,20,13,29,Star Trek: The Next Generation,tt0092455,7,21,6.8,1226,6.5982
tt0708717,Force of Nature,1993,6.2,6.3,6.5,5.8,6.9,6.6,112,61,139,354,366,142,81,35,28,48,Star Trek: The Next Generation,tt0092455,7,9,6.4,1305,6.28942
tt0708718,Frame of Mind,1993,8.7,8.2,8,7.9,8.4,8,382,451,465,220,80,52,25,15,7,23,Star Trek: The Next Generation,tt0092455,6,21,8.3,1659,8.182459999999999
tt0708719,Future Imperfect,1990,8.1,7.7,7.8,6.8,8,8.1,232,284,651,399,144,55,18,6,1,15,Star Trek: The Next Generation,tt0092455,4,8,7.9,1740,7.67998
tt0708720,Galaxy's Child,1991,7.2,7,7.2,6.3,7.2,7.5,146,120,357,548,249,82,42,22,5,21,Star Trek: The Next Generation,tt0092455,4,16,7.2,1530,6.98726
tt0708721,Gambit: Part I,1993,8.1,7.7,7.8,6.4,8.1,7.3,205,226,534,344,89,55,19,10,5,18,Star Trek: The Next Generation,tt0092455,7,4,7.8,1448,7.526739999999999
tt0708722,"Gambit, Part II",1993,8.1,7.9,7.9,6.6,8.1,7.4,238,239,530,298,91,51,20,10,5,19,Star Trek: The Next Generation,tt0092455,7,5,7.9,1444,7.624639999999999
tt0708723,Genesis,1994,7.2,7.1,7.1,5.6,7.4,7.3,217,161,316,379,181,109,42,45,31,46,Star Trek: The Next Generation,tt0092455,7,19,7.2,1465,6.86488
tt0708724,Half a Life,1991,7.5,7.1,7.4,6.4,7.8,7.6,187,158,407,460,206,82,37,28,14,31,Star Trek: The Next Generation,tt0092455,4,22,7.3,1552,7.21664
tt0708725,Haven,1987,6.1,6.1,6.4,7,6.7,6.7,140,58,200,431,560,260,133,44,32,34,Star Trek: The Next Generation,tt0092455,1,10,6.3,1829,6.421659999999999
tt0708726,Heart of Glory,1988,7.5,7.3,7.3,7.1,6.9,7,172,119,451,672,231,72,30,17,10,16,Star Trek: The Next Generation,tt0092455,1,19,7.3,1724,7.17248
tt0708727,Hero Worship,1992,6.7,6.5,6.7,5.5,7.4,7.2,135,73,200,417,396,146,54,23,22,21,Star Trek: The Next Generation,tt0092455,5,11,6.6,1431,6.55416
tt0708728,Hide and Q,1987,7.1,6.9,6.9,6.9,7.1,7.1,185,119,380,689,367,139,61,41,8,29,Star Trek: The Next Generation,tt0092455,1,9,7,1945,6.9520599999999995
tt0708729,Hollow Pursuits,1990,8,7.8,7.6,7.2,7.8,7.7,237,260,625,387,150,40,29,12,3,22,Star Trek: The Next Generation,tt0092455,3,21,7.8,1699,7.6437800000000005
tt0708730,Home Soil,1988,6.8,6.7,6.9,6.9,6.8,7.3,149,84,255,639,401,141,49,27,12,20,Star Trek: The Next Generation,tt0092455,1,17,6.8,1715,6.82936
tt0708731,Homeward,1994,7.4,6.9,7.2,5.4,7.4,7.4,131,89,289,485,201,90,41,20,5,16,Star Trek: The Next Generation,tt0092455,7,13,7.1,1307,6.86698
tt0708732,I Borg,1992,9,8.7,8.6,8.8,8.8,8.9,643,662,487,167,64,28,7,4,4,26,Star Trek: The Next Generation,tt0092455,5,23,8.8,2018,8.753599999999999
tt0708733,Identity Crisis,1991,6.8,6.6,6.9,6.4,7.2,6.7,143,72,204,488,392,122,48,30,12,15,Star Trek: The Next Generation,tt0092455,4,18,6.8,1466,6.70466
tt0708734,Imaginary Friend,1992,6.2,6,6.3,4.9,6.5,6.5,126,36,120,308,415,235,97,52,29,42,Star Trek: The Next Generation,tt0092455,5,22,6.1,1406,5.976019999999999
tt0708735,In Theory,1991,7.2,7.1,7.1,6.5,7.2,7.1,160,127,374,512,240,88,40,21,12,13,Star Trek: The Next Generation,tt0092455,4,25,7.2,1527,6.97988
tt0708736,Inheritance,1993,7.6,7.4,7.6,6.4,7.9,7.8,183,144,427,423,130,67,20,11,2,18,Star Trek: The Next Generation,tt0092455,7,10,7.6,1361,7.35868
